mg_feature,n_metabolites,n_relationships,mean_importance,max_importance,mean_abs_corr,max_abs_corr
Dermacoccus nishinomiyaensis,2,2,0.00881138942119615,0.0105732418596744,0.5269741384178108,0.5371441016772467
Kocuria palustris,2,2,0.015588106184272149,0.0186221777778232,0.5257695845933437,0.5344155114439323
Bifidobacterium angulatum,2,2,0.00792118130618125,0.0081559793978287,0.5053372421229204,0.5336252956773373
Pseudomonas sp. MYb193,2,2,0.0140493340004533,0.0227410185081605,0.518480819101176,0.5304840775649385
Streptomyces sp. CNQ-509,2,2,0.02712059050916405,0.0487893579532863,0.5278016252400888,0.5286935780434125
Pseudomonas kribbensis,2,2,0.0105546385251094,0.0154503154215217,0.5076734693739341,0.5279418603544626
Acidiferrobacter sp. SPIII_3,2,2,0.008389048743992999,0.0088067632168531,0.4493004752161496,0.5256105893551516
Pseudomonas fragi,2,2,0.01237371570940095,0.0145966449295537,0.5153020153369987,0.5224954620852804
Pseudomonas sp. Z003-0.4C(8344-21),2,2,0.01705629136473675,0.0281855867621072,0.5167820642119958,0.5207983065253871
Pseudomonas granadensis,2,2,0.021357141640151248,0.0372006578126773,0.5129041077760075,0.5206468217451015
Glutamicibacter arilaitensis,2,2,0.0079672509941477,0.0083556032684678,0.4972715940376353,0.5200341460344562
Pseudomonas silesiensis,2,2,0.00909863415100975,0.0131682213395833,0.5005765141979677,0.5195530817004448
Prevotella intermedia,2,2,0.009889432860771551,0.0145989230354509,0.488996530353934,0.5174048437446634
Hymenobacter sedentarius,2,2,0.011855927295982751,0.0119681665673851,0.4832005449259791,0.5169294737423512
Streptomyces katrae,2,2,0.0063087104731025,0.0065498645391725,0.5124508796176364,0.5144737518688528
Paludisphaera borealis,2,2,0.02043099993200015,0.0298146231496112,0.47268751174767043,0.5106670943811695
Intrasporangium calvum,2,2,0.0120220753044495,0.0154051750750083,0.5016478635609423,0.5096005072501157
Bacillus clausii,2,2,0.006198387510669199,0.0062119765207171,0.5041584731425199,0.5095840781167333
Bifidobacterium longum,2,2,0.0122058549044154,0.0149185758243247,0.5022203329917544,0.5084936057352734
Flavobacterium indicum,2,2,0.022381701506674248,0.0229482185095548,0.49961396147118253,0.5059056749872742
Pseudomonas sp. K2W31S-8,2,2,0.044249938167227304,0.0506216051421424,0.49332515665206644,0.5050809391365528
Actinoplanes teichomyceticus,2,2,0.0064247633014995,0.0064398916024587,0.4040953364811853,0.4966038914032191
Frankia sp. QA3,2,2,0.006322494864913,0.0066564637839448,0.4265999269032383,0.4796761421666393
Microbacterium sp. PAMC 28756,2,2,0.0146578652784228,0.0208133030682802,0.4267640615840643,0.4783397784723734
Halothiobacillus neapolitanus,2,2,0.00569309760303725,0.0060360839492668,0.4740038392141883,0.4775965305932962
Advenella kashmirensis,2,2,0.0081368462269578,0.0092841389601589,0.4563434689475754,0.4711432800259643
Microbacterium foliorum,2,2,0.0070584193780243495,0.009112493135035,0.463630680764137,0.4709770485569629
Pseudomonas lini,2,2,0.0093415918172862,0.0130406320095062,0.44280822969169076,0.4689706692847921
Amycolatopsis sp. AA4,2,2,0.0073574428752936,0.0086533333687006,0.42521877248025075,0.4602309113477063
Bradyrhizobium icense,2,2,0.0057891169785059,0.0058673831765449,0.3923303663044294,0.459362355942752
Arthrobacter sp. ERGS1:01,2,2,0.010899206757794998,0.0137901395338368,0.43245553540541976,0.4588230494143372
Pseudomonas syringae group genomosp. 3,2,2,0.0168357952497899,0.0215165298432111,0.43929558447342304,0.4574767900118665
Cupriavidus pauculus,2,2,0.006153346099571201,0.0069117102591296,0.396998244326344,0.4572049893119647
Streptomyces actuosus,2,2,0.0151018766772151,0.0212000757455825,0.38486546779015723,0.4521357507678539
Novosphingobium sp. P6W,2,2,0.0057623371687634505,0.0063434726396197,0.4436757240195842,0.4453003546713163
Sinomonas atrocyanea,2,2,0.013275479256461099,0.0185613576322793,0.4265223015640184,0.4407876777733067
Arthrobacter sp. DCT-5,2,2,0.01011623508874285,0.0146018583327531,0.4081342462312487,0.4240863585809725
Kosakonia radicincitans,2,2,0.01117834910766425,0.0131601867455472,0.3945496080220007,0.4177929768737958
Mesorhizobium ciceri,2,2,0.01798739299697085,0.0224340188607058,0.3802252444202787,0.4092262214341207
Streptomyces scabiei,2,2,0.01121529338255905,0.0147517686709761,0.3679116854005025,0.3988125354847118
Caulobacter flavus,2,2,0.0096088163554668,0.0109357926994562,0.37383523793796847,0.3859640009232083
Pseudomonas sp. TMW 2.1634,2,2,0.008131106549256549,0.0095098540186882,0.3613285815589681,0.3707548200203415
Rhizobium jaguaris,2,2,0.009900069899010749,0.0100302411522297,0.35262232408268923,0.3549687118155222
Roseobacter denitrificans,2,2,0.03832868440076705,0.0656313300132751,0.3357474767774183,0.3434584845955957
Leifsonia sp. 21MFCrub1.1,1,1,0.0142048243433237,0.0142048243433237,0.6501023437594549,0.6501023437594549
Micromonospora echinofusca,1,1,0.0071361116263346,0.0071361116263346,0.6434381791961756,0.6434381791961756
Terriglobus saanensis,1,1,0.0239506835146809,0.0239506835146809,0.6391125783747306,0.6391125783747306
Actinomyces sp. oral taxon 897,1,1,0.0072605586871286,0.0072605586871286,0.6337734187623814,0.6337734187623814
Janthinobacterium sp. LM6,1,1,0.0081789802316745,0.0081789802316745,0.6255169591007188,0.6255169591007188
Streptomyces virus Caliburn,1,1,0.0084621332241653,0.0084621332241653,0.6184656919751287,0.6184656919751287
Methylobacterium sp. XJLW,1,1,0.0080716367810964,0.0080716367810964,0.6001206955067386,0.6001206955067386
Nocardia seriolae,1,1,0.0348580591380596,0.0348580591380596,0.59469021938103,0.59469021938103
Streptomyces virus R4,1,1,0.0117578940026442,0.0117578940026442,0.5942676450973169,0.5942676450973169
Streptomyces phage phiHau3,1,1,0.0065813473797125,0.0065813473797125,0.5939941392696364,0.5939941392696364
Streptomyces phage Nanodon,1,1,0.0052152224816381,0.0052152224816381,0.5878881713054722,0.5878881713054722
Granulibacter bethesdensis,1,1,0.0197159349918365,0.0197159349918365,0.5849853445932854,0.5849853445932854
Mycobacterium kansasii,1,1,0.0455384440720081,0.0455384440720081,0.5830345750928223,0.5830345750928223
Psychrobacter sp. AntiMn-1,1,1,0.0076470169595155,0.0076470169595155,0.5745368991416618,0.5745368991416618
Bradyrhizobium sp. CCGE-LA001,1,1,0.0154812540858984,0.0154812540858984,0.5742798109372901,0.5742798109372901
Rhizobium sp. CCGE532,1,1,0.0271504772224737,0.0271504772224737,0.5685537128315286,0.5685537128315286
Streptomyces sp. 769,1,1,0.0054192202265312,0.0054192202265312,0.5675343936310243,0.5675343936310243
Pseudomonas mosselii,1,1,0.0178022999316453,0.0178022999316453,0.5634087395669706,0.5634087395669706
Neisseria subflava,1,1,0.0103729119208818,0.0103729119208818,0.5607099792998577,0.5607099792998577
Pseudomonas putida,1,1,0.0107695227488875,0.0107695227488875,0.5572515590585178,0.5572515590585178
Methylophaga nitratireducenticrescens,1,1,0.0071998515291538,0.0071998515291538,0.5551258867023997,0.5551258867023997
Rhodococcus coprophilus,1,1,0.012114993725016,0.012114993725016,0.5518110340536623,0.5518110340536623
Micromonospora purpureochromogenes,1,1,0.0090541351346594,0.0090541351346594,0.5490059977051859,0.5490059977051859
Actinoplanes derwentensis,1,1,0.009670746512711,0.009670746512711,0.5487761830861789,0.5487761830861789
Pseudomonas sp. R11-23-07,1,1,0.0227989187117804,0.0227989187117804,0.5486165863507393,0.5486165863507393
Shewanella sediminis,1,1,0.0251271103771672,0.0251271103771672,0.5484497735618767,0.5484497735618767
Kocuria sp. BT304,1,1,0.0301723509871488,0.0301723509871488,0.5484337450821756,0.5484337450821756
Bradyrhizobium sp. S23321,1,1,0.01605742610991,0.01605742610991,0.5480883955016385,0.5480883955016385
Halodesulfurarchaeum formicicum,1,1,0.0107424827292561,0.0107424827292561,0.5478528479361456,0.5478528479361456
