feature,mean_abs_shap
Pseudomonas trivialis,0.006305224336648972
Desulfomonile tiedjei,0.006146187258882486
Gemmata obscuriglobus,0.00599118073482571
Aeromicrobium marinum,0.0058932435997184835
Cellulomonas sp. PSBB021,0.005754940472112954
Xylanimonas cellulosilytica,0.005726329336231087
Acidiphilium cryptum,0.0057198511725969
Mycobacterium sp. VKM Ac-1817D,0.005710131677729263
Mobiluncus curtisii,0.0056959358525043025
Actinoplanes derwentensis,0.005657150006548582
Ereboglobus luteus,0.005622850373906956
Mycobacterium canettii,0.005614854753196289
Brevundimonas vesicularis,0.005603180241946048
Streptomyces sp. SM17,0.0055176112374176614
Pseudomonas sp. ATCC 13867,0.0053246909529820466
Micromonospora zamorensis,0.00523887236237127
Halorubrum trapanicum,0.005204913066249079
Microbacterium foliorum,0.005175515250676023
Actinomyces oris,0.005143632812388411
Actinoalloteichus sp. ADI127-7,0.005125684336411058
Mycobacterium shigaense,0.0051221532221299906
Methylocystis bryophila,0.005107890199521814
Ruegeria pomeroyi,0.004984228971426506
Micromonospora echinospora,0.0049151760586294635
Vibrio nigripulchritudo,0.004893187251395702
Granulicella mallensis,0.004886602171784541
Heliobacterium modesticaldum,0.004865634685058765
Pseudomonas sp. HLS-6,0.004856697934743129
Candidatus Nitrospira inopinata,0.00481979005363822
Pseudomonas oryzihabitans,0.004779352124892762
Methylocella silvestris,0.004756174772617803
Amycolatopsis japonica,0.00472609761470771
Pseudomonas tolaasii,0.004633097321515435
Bifidobacterium pseudolongum,0.004630784421675382
Pseudonocardia dioxanivorans,0.004630344246256587
Pseudomonas umsongensis,0.004626694513237479
Acidobacterium capsulatum,0.004582581461637585
Streptomyces sp. FR-008,0.004477356342199103
