,count,mean,std,min,25%,50%,75%,max
Corynebacterium phocae,105.0,0.0012857142857142859,0.0007559289460184544,0.0,0.001,0.001,0.002,0.003
Corynebacterium provencense,105.0,0.00495238095238094,0.0025320292575663726,0.001,0.003,0.005,0.0069999999999999,0.011
Corynebacterium pseudopelargi,105.0,0.001019047619047619,0.0006931110519988345,0.0,0.001,0.001,0.001,0.002
Corynebacterium pseudotuberculosis,105.0,0.0006666666666666668,0.0005126602313623643,0.0,0.0,0.001,0.001,0.002
Corynebacterium renale,105.0,0.001647619047619048,0.0007593133586055083,0.0,0.001,0.002,0.002,0.003
Corynebacterium resistens,105.0,0.0009714285714285715,0.0007397653325567148,0.0,0.0,0.001,0.002,0.002
Corynebacterium riegelii,105.0,0.0017142857142857142,0.0009168747682531899,0.0,0.001,0.002,0.002,0.004
Corynebacterium simulans,105.0,0.0017238095238095237,0.0008491538559426503,0.0,0.001,0.002,0.002,0.003
Corynebacterium singulare,105.0,0.001361904761904762,0.0007611202462844017,0.0,0.001,0.001,0.002,0.003
Corynebacterium sp. 2183,105.0,0.004742857142857134,0.002476926489657049,0.001,0.002,0.005,0.0069999999999999,0.011
Corynebacterium sp. 2184,105.0,0.004657142857142846,0.0025337285213258673,0.001,0.002,0.005,0.0069999999999999,0.01
Corynebacterium sp. ATCC 6931,105.0,0.006409523809523797,0.0038373048386736728,0.001,0.003,0.006,0.01,0.016
Corynebacterium sp. NML98-0116,105.0,0.0022190476190476188,0.001143383578387414,0.0,0.001,0.002,0.003,0.005
Corynebacterium sphenisci,105.0,0.010742857142857134,0.006397157679284323,0.002,0.005,0.011,0.016,0.026
Corynebacterium stationis,105.0,0.000742857142857143,0.00048095600767500673,0.0,0.0,0.001,0.001,0.002
Corynebacterium striatum,105.0,0.0022952380952380954,0.0011173785386048892,0.0,0.001,0.002,0.003,0.005
Corynebacterium terpenotabidum,105.0,0.004752380952380942,0.0025935606367611165,0.001,0.002,0.005,0.0069999999999999,0.011
Corynebacterium testudinoris,105.0,0.002914285714285714,0.0015511427903465067,0.0,0.001,0.003,0.004,0.0069999999999999
Corynebacterium timonense,105.0,0.005066666666666656,0.0026467202733058445,0.001,0.003,0.005,0.0069999999999999,0.012
Corynebacterium ulcerans,105.0,0.0010571428571428572,0.0007573812604140489,0.0,0.001,0.001,0.002,0.003
Corynebacterium urealyticum,105.0,0.004561904761904749,0.0024881403679942213,0.001,0.002,0.005,0.0069999999999999,0.011
Corynebacterium ureicelerivorans,105.0,0.003495238095238093,0.0018140679399742661,0.001,0.002,0.004,0.005,0.008
Corynebacterium uterequi,105.0,0.003790476190476183,0.001944890930772387,0.001,0.002,0.004,0.005,0.008
Corynebacterium variabile,105.0,0.005847619047619034,0.003100189052488915,0.001,0.003,0.006,0.008,0.0139999999999999
Corynebacterium vitaeruminis,105.0,0.007009523809523801,0.003972248051010224,0.001,0.003,0.0069999999999999,0.01,0.016
Corynebacterium xerosis,105.0,0.008323809523809515,0.004466747306691019,0.002,0.004,0.008,0.012,0.019
Coxiella burnetii,105.0,0.0008000000000000001,0.0004682208551856368,0.0,0.001,0.001,0.001,0.002
Crenobacter sp. K1W11S-77,105.0,0.01987619047619047,0.008467920503622932,0.006,0.0139999999999999,0.02,0.024,0.051
Crinalium epipsammum,105.0,0.0005714285714285714,0.0005162204146326612,0.0,0.0,0.001,0.001,0.002
Croceibacter atlanticus,105.0,0.0001238095238095238,0.0003309438162646486,0.0,0.0,0.0,0.0,0.001
Croceicoccus marinus,105.0,0.018723809523809518,0.007975316774628935,0.006,0.013,0.017,0.022,0.048
Croceicoccus naphthovorans,105.0,0.014133333333333319,0.006078123867081832,0.005,0.01,0.013,0.017,0.038
Cronobacter condimenti,105.0,0.004609523809523809,0.0028939434038882687,0.002,0.003,0.004,0.005,0.022
Cronobacter dublinensis,105.0,0.002561904761904762,0.001231976285390904,0.001,0.002,0.002,0.003,0.01
Cronobacter malonaticus,105.0,0.0011047619047619053,0.0005871019031553589,0.001,0.001,0.001,0.001,0.006
Cronobacter muytjensii,105.0,0.002333333333333334,0.001157472932618119,0.001,0.002,0.002,0.002,0.01
Cronobacter sakazakii,105.0,0.002666666666666665,0.0016737030953194875,0.001,0.002,0.002,0.003,0.013
Cronobacter turicensis,105.0,0.0017047619047619053,0.0010824101448211397,0.001,0.001,0.002,0.002,0.008
Cronobacter universalis,105.0,0.02174285714285713,0.010960618816251428,0.0069999999999999,0.013,0.02,0.0279999999999999,0.0559999999999999
Cryobacterium arcticum,105.0,0.018295238095238087,0.008956007663020016,0.004,0.01,0.018,0.026,0.046
Cryobacterium sp. GCJ02,105.0,0.014733333333333317,0.007198112288150319,0.003,0.008,0.015,0.02,0.0349999999999999
Cryobacterium sp. LW097,105.0,0.015238095238095226,0.007385697989935339,0.003,0.008,0.015,0.022,0.037
Cryptobacterium curtum,105.0,0.0003428571428571429,0.0004769408008050138,0.0,0.0,0.0,0.001,0.001
Cupriavidus basilensis,105.0,0.04878095238095238,0.033169141402694474,0.016,0.034,0.039,0.054,0.237
Cupriavidus gilardii,105.0,0.040761904761904756,0.013232044299237982,0.013,0.032,0.038,0.049,0.088
Cupriavidus metallidurans,105.0,0.1708666666666666,0.06388768189123702,0.042,0.127,0.16,0.198,0.358
