gold_project_id,nmdc_omics_id,nmdc_biosample_id,sample_name_nmdc,sample_code,site,compartment
Gp0566738,nmdc:omprc-11-dfrgp281,nmdc:bsm-11-sejjv213,"Bulk soil microbial communities from poplar common garden site in Corvallis, Oregon, USA - SKWD-24-1-Co1_7_5 soil",SKWD-24-1-Co1_7_5,Corvallis,soil
Gp0566739,nmdc:omprc-11-a0ny3j67,nmdc:bsm-11-b3802b26,"Bulk soil microbial communities from poplar common garden site in Corvallis, Oregon, USA - SKWD-24-1-Co2_54_22 soil",SKWD-24-1-Co2_54_22,Corvallis,soil
Gp0566740,nmdc:omprc-11-j4w68c64,nmdc:bsm-11-9413qr84,"Bulk soil microbial communities from poplar common garden site in Corvallis, Oregon, USA - SKWD-24-1-Co3_24_32 soil",SKWD-24-1-Co3_24_32,Corvallis,soil
Gp0566756,nmdc:omprc-11-3w9h2c26,nmdc:bsm-11-vnkf4228,"Rhizosphere soil microbial communities from poplar common garden site in Clatskanie, Oregon, USA - BESC-13-CL1_35_33 rhizosphere",BESC-13-CL1_35_33,Clatskanie,rhizosphere
Gp0566757,nmdc:omprc-11-rnmevy68,nmdc:bsm-11-k7jqh647,"Rhizosphere soil microbial communities from poplar common garden site in Clatskanie, Oregon, USA - BESC-13-CL2_39_29 rhizosphere",BESC-13-CL2_39_29,Clatskanie,rhizosphere
Gp0566758,nmdc:omprc-11-60e9hj74,nmdc:bsm-11-k3zdem68,"Rhizosphere soil microbial communities from poplar common garden site in Clatskanie, Oregon, USA - BESC-13-CL3_85_26 rhizosphere",BESC-13-CL3_85_26,Clatskanie,rhizosphere
Gp0566759,nmdc:omprc-11-yrybv196,nmdc:bsm-11-97dgrv19,"Rhizosphere soil microbial communities from poplar common garden site in Corvallis, Oregon, USA - BESC-13-Co1_30_3 rhizosphere",BESC-13-Co1_30_3,Corvallis,rhizosphere
Gp0566760,nmdc:omprc-11-vq3a4e96,nmdc:bsm-11-nz6f9964,"Rhizosphere soil microbial communities from poplar common garden site in Corvallis, Oregon, USA - BESC-13-Co2_41_23 rhizosphere",BESC-13-Co2_41_23,Corvallis,rhizosphere
Gp0566761,nmdc:omprc-11-p168r234,nmdc:bsm-11-f0st6436,"Rhizosphere soil microbial communities from poplar common garden site in Corvallis, Oregon, USA - BESC-13-Co3_21_57 rhizosphere",BESC-13-Co3_21_57,Corvallis,rhizosphere
Gp0566762,nmdc:omprc-11-73tmf593,nmdc:bsm-11-ehqk1b45,"Rhizosphere soil microbial communities from poplar common garden site in Clatskanie, Oregon, USA - BESC-133-CL1_28_16 rhizosphere",BESC-133-CL1_28_16,Clatskanie,rhizosphere
Gp0566763,nmdc:omprc-11-73c7p786,nmdc:bsm-11-1fa0hs25,"Rhizosphere soil microbial communities from poplar common garden site in Clatskanie, Oregon, USA - BESC-133-CL2_62_7 rhizosphere",BESC-133-CL2_62_7,Clatskanie,rhizosphere
Gp0566764,nmdc:omprc-11-1erg0884,nmdc:bsm-11-zpf4n944,"Rhizosphere soil microbial communities from poplar common garden site in Clatskanie, Oregon, USA - BESC-133-CL3_93_10 rhizosphere",BESC-133-CL3_93_10,Clatskanie,rhizosphere
Gp0566765,nmdc:omprc-11-5eedag40,nmdc:bsm-11-h49t7j41,"Rhizosphere soil microbial communities from poplar common garden site in Corvallis, Oregon, USA - BESC-133-Co1_27_3 rhizosphere",BESC-133-Co1_27_3,Corvallis,rhizosphere
Gp0566766,nmdc:omprc-11-7t2crn28,nmdc:bsm-11-ad739z23,"Rhizosphere soil microbial communities from poplar common garden site in Corvallis, Oregon, USA - BESC-133-Co2_50_25 rhizosphere",BESC-133-Co2_50_25,Corvallis,rhizosphere
Gp0566767,nmdc:omprc-11-vhjmfv45,nmdc:bsm-11-g9w69290,"Rhizosphere soil microbial communities from poplar common garden site in Corvallis, Oregon, USA - BESC-133-Co3_19_46 rhizosphere",BESC-133-Co3_19_46,Corvallis,rhizosphere
Gp0566768,nmdc:omprc-11-dkrhkz48,nmdc:bsm-11-kgkcxn39,"Rhizosphere soil microbial communities from poplar common garden site in Clatskanie, Oregon, USA - BESC-198-CL2_38_5 rhizosphere",BESC-198-CL2_38_5,Clatskanie,rhizosphere
Gp0566769,nmdc:omprc-11-11tfr054,nmdc:bsm-11-825geg82,"Rhizosphere soil microbial communities from poplar common garden site in Clatskanie, Oregon, USA - BESC-198-CL3_81_33 rhizosphere",BESC-198-CL3_81_33,Clatskanie,rhizosphere
Gp0566770,nmdc:omprc-11-v886ej21,nmdc:bsm-11-b3d5yg81,"Rhizosphere soil microbial communities from poplar common garden site in Clatskanie, Oregon, USA - BESC-234-CL1_24_28 rhizosphere",BESC-234-CL1_24_28,Clatskanie,rhizosphere
Gp0566771,nmdc:omprc-11-swepc537,nmdc:bsm-11-aztxt406,"Rhizosphere soil microbial communities from poplar common garden site in Clatskanie, Oregon, USA - BESC-234-CL2_65_22 rhizosphere",BESC-234-CL2_65_22,Clatskanie,rhizosphere
Gp0566772,nmdc:omprc-11-wt4xvj42,nmdc:bsm-11-v0hqhp22,"Rhizosphere soil microbial communities from poplar common garden site in Corvallis, Oregon, USA - BESC-234-Co1_23_3 rhizosphere",BESC-234-Co1_23_3,Corvallis,rhizosphere
Gp0566773,nmdc:omprc-11-63r5s591,nmdc:bsm-11-d1h1d248,"Rhizosphere soil microbial communities from poplar common garden site in Corvallis, Oregon, USA - BESC-234-Co2_52_27 rhizosphere",BESC-234-Co2_52_27,Corvallis,rhizosphere
Gp0566774,nmdc:omprc-11-pbt4ny40,nmdc:bsm-11-da01b330,"Rhizosphere soil microbial communities from poplar common garden site in Corvallis, Oregon, USA - BESC-234-Co3_21_62 rhizosphere",BESC-234-Co3_21_62,Corvallis,rhizosphere
