biosample_id,metabolomics_run_count,metabolomics_run_ids
nmdc:bsm-11-da01b330,4,nmdc:dgms-12-9rmh9092;nmdc:dgms-12-mncy9r27;nmdc:dgms-12-zw613e97;nmdc:dgms-12-1axmj596
nmdc:bsm-11-djqze645,4,nmdc:dgms-12-cmt7y498;nmdc:dgms-12-bk58x862;nmdc:dgms-12-szj1z240;nmdc:dgms-12-hp3x2m60
nmdc:bsm-11-dppkv536,4,nmdc:dgms-12-wfb01397;nmdc:dgms-12-xpyz2v81;nmdc:dgms-12-xdqm2t98;nmdc:dgms-12-g37tq597
nmdc:bsm-11-dqnfvd06,4,nmdc:dgms-12-7n5dd364;nmdc:dgms-12-yg9r9n26;nmdc:dgms-12-nqnx4324;nmdc:dgms-12-p9hy4s32
nmdc:bsm-11-dtyb1w45,4,nmdc:dgms-12-3rdv5t13;nmdc:dgms-12-yq4x4r67;nmdc:dgms-12-fnvvw802;nmdc:dgms-12-m3zvjg53
nmdc:bsm-11-dva76848,4,nmdc:dgms-12-y3wpdy35;nmdc:dgms-12-4w0ssv71;nmdc:dgms-12-rp0ctf17;nmdc:dgms-12-sxb30t47
nmdc:bsm-11-dz264p50,4,nmdc:dgms-12-04padp26;nmdc:dgms-12-c8wgfv44;nmdc:dgms-12-b0sr2732;nmdc:dgms-12-5vp1cy08
nmdc:bsm-11-e0rz6p82,4,nmdc:dgms-12-qpjt3677;nmdc:dgms-12-h6rxhc66;nmdc:dgms-12-8s9jne58;nmdc:dgms-12-1eea6k04
nmdc:bsm-11-e747ch69,4,nmdc:dgms-12-7b02h702;nmdc:dgms-12-1zwcpa76;nmdc:dgms-12-4rbw8j67;nmdc:dgms-12-gfq9e789
nmdc:bsm-11-e9z5qp65,4,nmdc:dgms-12-2c3ayz22;nmdc:dgms-12-h8r4ma15;nmdc:dgms-12-61qea943;nmdc:dgms-12-zb69jm74
nmdc:bsm-11-ehqk1b45,4,nmdc:dgms-12-ga2zvn11;nmdc:dgms-12-75cst942;nmdc:dgms-12-c3n77r51;nmdc:dgms-12-nt5ktz82
nmdc:bsm-11-epzqzg45,4,nmdc:dgms-12-07wcya25;nmdc:dgms-12-41156x43;nmdc:dgms-12-kv9qty11;nmdc:dgms-12-b4ezy803
nmdc:bsm-11-evfbfp31,4,nmdc:dgms-12-zm4wjx94;nmdc:dgms-12-by5m7832;nmdc:dgms-12-8q9xrb70;nmdc:dgms-12-2sfgrr61
nmdc:bsm-11-f0st6436,4,nmdc:dgms-12-d1pyrx12;nmdc:dgms-12-gysngy50;nmdc:dgms-12-zmd59407;nmdc:dgms-12-6xwwad51
