chem__LBCeq (mg/kg CaCO3/pH dry weight),chem__LBC (mg/kg CaCO3/pH dry weight),chem__Ca (Mehlich 1 mg/kg dry weight),denit__Rate (microgN/kilogram dry weight soil/day),chem__K (Mehlich 1 mg/kg dry weight),chem__Mg (Mehlich 1 mg/kg dry weight),chem__P (Mehlich 1 mg/kg dry weight),psize__Soil Clay Content %,psize__Soil Silt Content %,moist__Replicate 1 Mass Water / Mass Dry Soil %,moist__Replicate 2 Mass Water / Mass Dry Soil %,moist__Replicate 3 Mass Water / Mass Dry Soil %,chem__Mn (Mehlich 1 mg/kg dry weight),chem__NO3-N (mg/kg dry weight),soil_NO3,psize__Soil Sand Content %,chem__NH4-N (mg/kg dry weight),soil_NH4,nitrif__Rate (mg NO3-N/kilogram dry weight soil/day),chem__Zn (Mehlich 1 mg/kg dry weight)
3422.0,1180.0,2125.17,31.66446271,280.278,347.818,25.564,10.51454139,41.01416853,28.3887468,27.80612245,27.73536896,48.6819,17.694,17.694,48.47129008,7.2955,7.2955,3.374237836,5.4467
2105.4,726.0,2547.83,41.87404784,166.389,481.129,100.333,52.41895262,31.97007481,12.64108352,11.60714286,11.35857461,25.2036,1.8265,1.8265,15.61097257,3.7375,3.7375,1.378367246,2.948
4428.3,1527.0,2413.7,595.651303,231.502,421.954,15.9709,,,34.31635389,37.19008264,37.46556474,29.5671,20.049,20.049,,16.1475,16.1475,8.320768679,7.652
1426.8,492.0,2092.65,35.36854282,150.225,421.19,112.623,47.77860511,35.98907918,11.30820399,10.37527594,11.35857461,19.3685,1.9945,1.9945,16.23231571,3.4185,3.4185,1.164817157,1.9367
4541.4,1566.0,2224.63,116.4714185,118.102,314.93,28.1263,24.12604628,46.77498769,39.38547486,39.16666667,38.99721448,42.6146,29.0125,29.0125,29.09896603,15.591,15.591,5.226302711,8.3138
4132.5,1425.0,1923.65,293.830712,134.845,404.205,22.4911,13.13922192,53.82921458,31.57894737,31.49606299,30.72916667,32.9005,15.503,15.503,33.03156349,14.706,14.706,10.53317543,6.2737
1731.3,597.0,2453.12,29.32789634,313.501,435.482,103.111,59.57966764,24.43792766,4.402515723,4.60251046,5.031446541,24.2299,,,15.98240469,4.1705,4.1705,0.58950566,5.016
1441.3,497.0,2359.17,5.449192045,201.387,442.326,102.779,54.77878269,19.555121,8.459869848,8.207343413,7.974137931,23.1047,1.6305,1.6305,25.66609631,2.923,2.923,0.994256852,1.95
3190.0,1100.0,2522.96,88.63683212,293.434,435.812,40.5021,7.361660079,53.11264822,25.75757576,24.6882793,20.82324455,48.1777,19.8355,19.8355,39.5256917,8.3875,8.3875,5.387585001,8.3322
1563.1,539.0,2322.55,6.461780128,206.227,440.421,117.852,50.08699975,31.86676609,7.974137931,9.190371991,6.382978723,21.3753,4.8475,4.8475,18.04623415,2.7645,2.7645,0.983508402,2.8677
4518.2,1558.0,1846.09,100.4799514,168.937,291.535,25.6737,34.09599602,17.40860482,33.06666667,37.08791209,31.75853018,23.2667,14.395,14.395,48.49539915,16.3295,16.3295,6.932707749,5.1776
1957.5,675.0,2477.56,24.47547085,257.767,485.365,57.0954,,,11.63310962,11.35857461,11.35857461,27.5555,1.6095,1.6095,,3.956,3.956,1.431534059,2.7486
3561.2,1228.0,1841.93,232.3952319,113.561,331.5,21.9252,5.92351912,57.48562859,28.79177378,32.45382586,29.87012987,34.8639,12.874,12.874,36.59085229,9.5715,9.5715,8.573275303,5.2868
4358.7,1503.0,2059.81,65.79865524,192.34,356.661,24.3114,14.61500736,53.94801373,38.22714681,36.51226158,37.46556474,26.1871,5.7905,5.7905,31.43697891,14.099,14.099,4.395738009,4.9097
,,,,,,,30.54248204,52.01882586,,,,,,,17.4386921,,,,
3317.6,1144.0,2644.35,24.87739316,205.043,568.66,47.1765,7.071713147,64.74103586,17.96690307,15.17241379,15.81395349,67.1221,11.5955,11.5955,28.187251,8.6505,8.6505,3.7201831,8.4669
,,,,,,,73.79891035,18.12778603,,,,,,,8.073303616,,,,
4265.9,1471.0,2188.04,6.246259056,87.2653,359.242,24.8311,23.9780658,49.85044865,6.852248394,7.280513919,7.066381156,39.5279,16.3555,16.3555,26.17148554,16.2875,16.2875,-1.150544409,7.5452
1722.6,594.0,2498.43,16.75111296,219.265,485.077,115.112,41.41614907,38.50931677,4.592901879,5.042016807,4.166666667,28.6011,0.2345,0.2345,20.07453416,3.014,3.014,1.019605873,4.1569
1844.4,636.0,2254.4,56.62116212,395.228,442.037,78.6293,43.56558393,36.39970245,10.84070796,9.628008753,9.150326797,25.3905,1.333,1.333,20.03471361,3.002,3.002,1.277046707,3.6902
2082.2,718.0,2833.61,78.2465515,252.17,517.121,88.6809,47.19324391,33.97913562,7.991360691,9.170305677,7.051282051,28.365,,,18.82762047,4.09,4.09,1.053849813,5.7041
4065.8,1402.0,2080.8,347.0009557,115.882,364.457,30.2225,21.41082961,50.91902633,29.79274611,31.07049608,28.20512821,24.2913,14.7365,14.7365,27.67014406,9.5985,9.5985,5.897884736,7.6471
3346.6,1154.0,2435.35,39.4212462,328.053,444.03,36.8657,6.432459179,59.37654626,23.51485149,23.51485149,23.76237624,35.7355,18.875,18.875,34.19099456,9.211,9.211,5.317244309,8.0582
