,count,mean,std,min,25%,50%,75%,max
Thermodesulfobium acidiphilum,105.0,6.666666666666667e-05,0.0002506402059138015,0.0,0.0,0.0,0.0,0.001
Thermotoga petrophila,105.0,6.666666666666667e-05,0.0002506402059138015,0.0,0.0,0.0,0.0,0.001
Thermus thermophilus,105.0,0.007485714285714273,0.0037675596205641463,0.002,0.004,0.008,0.01,0.016
Thioalkalivibrio sulfidiphilus,105.0,0.01080952380952379,0.004955756633403603,0.003,0.0069999999999999,0.011,0.0139999999999999,0.025
Thiomicrospira aerophila,105.0,0.00019047619047619048,0.0003945600786669322,0.0,0.0,0.0,0.0,0.001
Tropheryma whipplei,105.0,9.523809523809524e-05,0.00029495141463694826,0.0,0.0,0.0,0.0,0.001
Verminephrobacter eiseniae,105.0,0.027180952380952375,0.011092947302384516,0.01,0.02,0.026,0.032,0.079
Vibrio scophthalmi,105.0,9.523809523809524e-05,0.00029495141463694826,0.0,0.0,0.0,0.0,0.001
Waddlia chondrophila,105.0,0.00037142857142857143,0.0004855041562276123,0.0,0.0,0.0,0.001,0.001
Wolbachia endosymbiont of Drosophila melanogaster,105.0,0.0005238095238095238,0.0007350462844563193,0.0,0.0,0.0,0.001,0.003
Wolbachia endosymbiont of Drosophila simulans,105.0,7.61904761904762e-05,0.0002665750758459445,0.0,0.0,0.0,0.0,0.001
Xanthobacter autotrophicus,105.0,0.03739047619047618,0.01648104694565574,0.011,0.024,0.037,0.047,0.09
Xanthomonas phaseoli,105.0,0.010199999999999987,0.005054320314953725,0.003,0.0069999999999999,0.009,0.011,0.033
Xenorhabdus nematophila,105.0,0.00038095238095238096,0.0004879500364742666,0.0,0.0,0.0,0.001,0.001
Yersinia entomophaga,105.0,0.0006000000000000001,0.0005980738313053897,0.0,0.0,0.001,0.001,0.003
Zhongshania aliphaticivorans,105.0,0.0010952380952380955,0.0005463833805440998,0.0,0.001,0.001,0.001,0.003
[Clostridium] sphenoides,105.0,7.61904761904762e-05,0.0002665750758459445,0.0,0.0,0.0,0.0,0.001
[Mycobacterium] stephanolepidis,105.0,0.0055619047619047506,0.0023734258326625983,0.001,0.004,0.006,0.0069999999999999,0.011
[Pseudomonas] mesoacidophila,105.0,0.014295238095238081,0.0052347283551661935,0.003,0.011,0.0139999999999999,0.017,0.031
alpha proteobacterium HIMB59,105.0,0.00016190476190476192,0.0003701301622353101,0.0,0.0,0.0,0.0,0.001
halophilic archaeon DL31,105.0,0.0013333333333333335,0.000792593923901217,0.0,0.001,0.001,0.002,0.003
