mg_feature,n_metabolites,mean_importance,max_importance,mean_abs_corr
Paenibacillus graminis,2,0.015571498471306193,0.02586006399206204,0.0785173765086444
Streptomyces rubrolavendulae,2,0.013279027695236218,0.023224670439958572,0.548429163686126
Acinetobacter lwoffii,2,0.02242888745398819,0.023065946111708868,0.0665138938182239
Flavobacterium indicum,2,0.02238170150667429,0.022948218509554863,0.49961396147118253
Pseudomonas sp. MYb193,2,0.014049334000453384,0.02274101850816057,0.518480819101176
Mesorhizobium ciceri,2,0.01798739299697087,0.022434018860705805,0.3802252444202787
Rhodopseudomonas palustris,2,0.013843801228425857,0.021532155573368073,0.357535584793705
Pseudomonas syringae group genomosp. 3,2,0.016835795249789953,0.021516529843211174,0.43929558447342304
Microbacterium sp. PAMC 28756,2,0.014657865278422832,0.02081330306828022,0.4267640615840643
Paenibacillus riograndensis,2,0.01297321741985992,0.020483140613256526,0.03593685838968515
Phyllobacterium zundukense,2,0.01290717601057512,0.019295529965218876,0.27257404472639923
Kocuria palustris,2,0.015588106184272208,0.018622177777823285,0.5257695845933437
Sinomonas atrocyanea,2,0.013275479256461189,0.018561357632279396,0.4265223015640184
Streptomyces lincolnensis,2,0.013864634092897177,0.018412379547953606,0.3170184575130697
Thermanaerovibrio velox,2,0.011564234196724872,0.017845713086279247,0.5135662411485482
Cellulomonas fimi,2,0.013436209782213389,0.01778261116541846,0.3967576328799373
Mesorhizobium japonicum,2,0.014469774905592203,0.01776047982275486,0.10542605098270966
Gemmata sp. SH-PL17,2,0.014124650023203771,0.01735333725810051,0.30109776230306484
Aminobacter aminovorans,2,0.01605423167347908,0.01723191700875759,0.025870198925613423
Janthinobacterium agaricidamnosum,2,0.011875082041331213,0.016456587240099907,0.579598867075906
Plantactinospora sp. KBS50,2,0.009838455094721631,0.016199790070594338,0.5260710736915839
Pseudomonas kribbensis,2,0.010554638525109409,0.015450315421521704,0.5076734693739341
Alcanivorax sp. N3-2A,2,0.012646463021656144,0.01522731315344572,0.5542745723823963
Janthinobacterium svalbardensis,2,0.010634506167812937,0.014992420561611652,0.5134310289307837
Bifidobacterium longum,2,0.012205854904415458,0.014918575824324784,0.5022203329917544
Streptomyces scabiei,2,0.011215293382559098,0.014751768670976162,0.36791168540050256
Mycobacterium sp. MS1601,2,0.013830704852237925,0.014661523513495922,0.16242889242366482
Arthrobacter sp. DCT-5,2,0.010116235088742919,0.014601858332753181,0.4081342462312488
Pseudomonas fragi,2,0.012373715709401024,0.014596644929553775,0.5153020153369987
Lentzea guizhouensis,2,0.01121838204562664,0.014504550024867058,0.4931181211119665
Cupriavidus oxalaticus,2,0.009719509614183514,0.014188356130422429,0.2616077348764323
Arthrobacter sp. ERGS1:01,2,0.01089920675779503,0.013790139533836848,0.43245553540541976
