feature,metabolite,importance,importance_sum,n_occurrences,feature_type,feature_category,feature_clean,metabolite_short
Kitasatospora setae,C18_negative|IK:BLUAFEHZUWYNDE-DCJAHCNHSA-N,0.0384482014703623,0.0384482014703623,1,microbe,microbe_Kitasatospora,Kitasatospora,C18_negative|IK:BLUAFEHZUW
Kitasatospora sp. MMS16-BH015,C18_negative|IK:AJFTWGKYXHISKT-UHFFFAOYSA-N,0.0433750149820236,0.0433750149820236,1,microbe,microbe_Kitasatospora,Kitasatospora,C18_negative|IK:AJFTWGKYXH
Luteibacter rhizovicinus,C18_negative|IK:DLRVVLDZNNYCBX-ABXHMFFYSA-N,0.0195023176628035,0.0195023176628035,1,microbe,microbe_other,Luteibacter rhizovicinus,C18_negative|IK:DLRVVLDZNN
Marivirga tractuosa,C18_negative|IK:CSGSKMJWQQEEQK-NHCPJIJJSA-N,0.0246893429520585,0.0246893429520585,1,microbe,microbe_other,Marivirga tractuosa,C18_negative|IK:CSGSKMJWQQ
Massilia oculi,C18_negative|IK:CZMRCDWAGMRECN-UGDNZRGBSA-N,0.0324052608153649,0.0324052608153649,1,microbe,microbe_Massilia,Massilia,C18_negative|IK:CZMRCDWAGM
Massilia sp. WG5,C18_negative|IK:CZMRCDWAGMRECN-UGDNZRGBSA-N,0.0211668940643741,0.0211668940643741,1,microbe,microbe_Massilia,Massilia,C18_negative|IK:CZMRCDWAGM
Mesorhizobium ciceri,C18_negative|IK:BJEPYKJPYRNKOW-UWTATZPHSA-N,0.0208282169247675,0.0208282169247675,1,microbe,microbe_Rhizobium,Rhizobium,C18_negative|IK:BJEPYKJPYR
Methylotenera mobilis,C18_negative|IK:DRTQHJPVMGBUCF-UHFFFAOYSA-N,0.1070659137428284,0.1070659137428284,1,microbe,microbe_Methylotenera,Methylotenera,C18_negative|IK:DRTQHJPVMG
Methylotenera mobilis,C18_negative|IK:DRTQHJPVMGBUCF-XVFCMESISA-N,0.0511364173941685,0.0511364173941685,1,microbe,microbe_Methylotenera,Methylotenera,C18_negative|IK:DRTQHJPVMG
Microbacterium sp. CGR1,C18_negative|IK:BJRNKVDFDLYUGJ-UHFFFAOYSA-N,0.0205631197991939,0.0205631197991939,1,microbe,microbe_other,Microbacterium sp. CGR1,C18_negative|IK:BJRNKVDFDL
Mycobacterium haemophilum,C18_negative|IK:BAHHZVVNFAOLAZ-UHFFFAOYSA-N,0.0342621581395096,0.0342621581395096,1,microbe,microbe_other,Mycobacterium haemophilum,C18_negative|IK:BAHHZVVNFA
Mycobacterium sp. JS623,C18_negative|IK:DJOJDHGQRNZXQQ-UHFFFAOYSA-N,0.0326964529009097,0.0326964529009097,1,microbe,microbe_other,Mycobacterium sp. JS623,C18_negative|IK:DJOJDHGQRN
Neorhizobium galegae,C18_negative|IK:BDJRBEYXGGNYIS-UHFFFAOYSA-N,0.0294678157316419,0.0294678157316419,1,microbe,microbe_Rhizobium,Rhizobium,C18_negative|IK:BDJRBEYXGG
Niastella koreensis,C18_negative|IK:ABVDJKDAAWCYKH-PNJCVKMMSA-N,0.0542676321131406,0.0542676321131406,1,microbe,microbe_other,Niastella koreensis,C18_negative|IK:ABVDJKDAAW
Paenibacillus borealis,C18_negative|IK:ABVDJKDAAWCYKH-PNJCVKMMSA-N,0.0540009721741803,0.0540009721741803,1,microbe,microbe_Paenibacillus,Paenibacillus,C18_negative|IK:ABVDJKDAAW
Paenibacillus crassostreae,C18_negative|IK:CFJLERBDXYGARW-TVKJYDDYSA-N,0.0277727742764117,0.0277727742764117,1,microbe,microbe_Paenibacillus,Paenibacillus,C18_negative|IK:CFJLERBDXY
