mg_feature,n_metabolites,mean_importance,max_importance,mean_abs_corr
Brachybacterium sp. VR2415,1,0.003131759390329208,0.003131759390329208,0.5229258654325023
Selenomonas sp. oral taxon 126,1,0.0031050764445005076,0.0031050764445005076,0.4798004722191327
Pseudomonas sp. SWI36,1,0.003093278455943014,0.003093278455943014,0.5067983321702848
Rothia dentocariosa,1,0.003082621450284296,0.003082621450284296,0.5304477545263456
Megasphaera hexanoica,1,0.0030780134400925194,0.0030780134400925194,0.5193781505780091
Massilia sp. WG5,1,0.0030608020071951573,0.0030608020071951573,0.4365611941498279
Thermodesulfatator indicus,1,0.003032245586035334,0.003032245586035334,0.3278037743255524
Plantactinospora sp. BC1,1,0.002993706143503579,0.002993706143503579,0.5490239721181593
Lactobacillus fermentum,1,0.002947416492488873,0.002947416492488873,0.26616618616503346
Planctomyces sp. SH-PL62,1,0.0029448758618120844,0.0029448758618120844,0.3095873613507093
Sphingorhabdus sp. Alg231-15,1,0.0029323795067822647,0.0029323795067822647,0.2476032031932572
Ensifer adhaerens,1,0.002931446840603814,0.002931446840603814,0.11026257183508976
Acidipropionibacterium virtanenii,1,0.0029059194152350775,0.0029059194152350775,0.5290999782402687
Brevibacterium aurantiacum,1,0.002885164940269923,0.002885164940269923,0.4531508357817219
Acinetobacter sp. TGL-Y2,1,0.0028794260054645555,0.0028794260054645555,0.018673807369668078
Planococcus sp. Y42,1,0.002877007801927261,0.002877007801927261,0.5043409333374723
Tamlana sp. UJ94,1,0.0028630846176488697,0.0028630846176488697,0.0406720602808112
Yersinia entomophaga,1,0.0028387163066430263,0.0028387163066430263,0.2456822907343854
Vibrio nigripulchritudo,1,0.0028265472244167226,0.0028265472244167226,0.5111110244989926
Hymenobacter sp. DG25A,1,0.002820614679798016,0.002820614679798016,0.4145866393806365
Rhizobium phage RHEph10,1,0.002817734371026515,0.002817734371026515,0.49372268515855294
Cylindrospermum stagnale,1,0.0027956856672469994,0.0027956856672469994,0.2905956097432841
Acinetobacter wuhouensis,1,0.002756989756044135,0.002756989756044135,0.044147905674926026
Rhodococcus aetherivorans,1,0.00275649185458256,0.00275649185458256,0.5115571825941387
Pseudoalteromonas rubra,1,0.002747238432201767,0.002747238432201767,0.3987748910914398
Leclercia adecarboxylata,1,0.002737533759284294,0.002737533759284294,0.2794732340244999
Acetobacter tropicalis,1,0.002733950174439957,0.002733950174439957,0.2892000008510875
Aquimarina sp. AD10,1,0.0027332832659267923,0.0027332832659267923,0.060886389151296134
Methanoregula formicica,1,0.0027173200551286695,0.0027173200551286695,0.49440813571392767
Micromonospora viridifaciens,1,0.002708302144027703,0.002708302144027703,0.49637583281673403
Streptomyces cattleya,1,0.00270597966793811,0.00270597966793811,0.5198993475796388
Rahnella sp. Y9602,1,0.0027040856338883014,0.0027040856338883014,0.19134095458827427
Pedobacter cryoconitis,1,0.002678774055874569,0.002678774055874569,0.1896705102173296
Methylotenera mobilis,1,0.002664804531217023,0.002664804531217023,0.4868789785601607
Clostridium pasteurianum,1,0.00265027937206251,0.00265027937206251,0.22762226566952573
Jatrophihabitans sp. GAS493,1,0.002621923528983315,0.002621923528983315,0.3974603968467319
Leifsonia sp. 21MFCrub1.1,1,0.0026190220814256236,0.0026190220814256236,0.4325368630795704
Sphingopyxis macrogoltabida,1,0.002613885132092117,0.002613885132092117,0.04871471370031006
Hymenobacter nivis,1,0.0026118880135233623,0.0026118880135233623,0.41439413558672417
Pseudolabrys taiwanensis,1,0.0026037448305822734,0.0026037448305822734,0.27890045511066885
Nakamurella multipartita,1,0.002550483024450026,0.002550483024450026,0.521891719955508
Hoyosella subflava,1,0.002521065163481349,0.002521065163481349,0.5234113648240315
Simkania negevensis,1,0.0025131001848065168,0.0025131001848065168,0.18272104637847522
Kitasatospora setae,1,0.00249466879079754,0.00249466879079754,0.544316929797962
Alkalitalea saponilacus,1,0.002443228683686492,0.002443228683686492,0.3062493194166129
Devriesea agamarum,1,0.0024294207047703023,0.0024294207047703023,0.5632909227149167
Methylocystis bryophila,1,0.0024159317736974196,0.0024159317736974196,0.3070350568439679
Rhizobium sp. NXC24,1,0.00240692478242108,0.00240692478242108,0.1462365324851288
Pseudoalteromonas carrageenovora,1,0.002397579223487025,0.002397579223487025,0.25176070330331995
Halomonas sp. hl-4,1,0.0023343272315035296,0.0023343272315035296,0.2575220069185681
Ochrobactrum pituitosum,1,0.002322169011587801,0.002322169011587801,0.2865965363879662
Clostridium argentinense,1,0.0022638285136521033,0.0022638285136521033,0.14665300037587023
Marivivens sp. JLT3646,1,0.0022173582780661383,0.0022173582780661383,0.4138671753723583
Dickeya solani,1,0.002143190470331746,0.002143190470331746,0.1660575868250573
Modestobacter marinus,1,0.0021313136467454837,0.0021313136467454837,0.3509657713862101
