feature,mean_imp,freq,score
Collimonas pratensis,0.0054583516797017,1,0.0054583516797017
Ensifer adhaerens,0.0054088741960306,1,0.0054088741960306
Actinoplanes derwentensis,0.0053825675210852,1,0.0053825675210852
Pseudoflavitalea sp. 5GH32-13,0.0053383256163141,1,0.0053383256163141
Rhodococcus aetherivorans,0.0053363500362201,1,0.0053363500362201
Bosea vaviloviae,0.0053343071137933,1,0.0053343071137933
Neisseria gonorrhoeae,0.0053047596463547,1,0.0053047596463547
Rhizobium phaseoli,0.0053023841321001,1,0.0053023841321001
chem__P (Mehlich 1 mg/kg dry weight),0.00523808624667,1,0.00523808624667
Paenibacillus lentus,0.005235535607938,1,0.005235535607938
Bordetella parapertussis,0.0052006723084213,1,0.0052006723084213
Roseobacter denitrificans,0.0051491370358857,1,0.0051491370358857
Frankia symbiont of Datisca glomerata,0.0051206452836933,1,0.0051206452836933
Clostridium estertheticum,0.0051177507800255,1,0.0051177507800255
Janthinobacterium sp. 1_2014MBL_MicDiv,0.0050999095137519,1,0.0050999095137519
Micromonospora sp. L5,0.0049897124826893,1,0.0049897124826893
Agromyces sp. 30A,0.0049725302569515,1,0.0049725302569515
Actinoalloteichus sp. GBA129-24,0.0049690737108887,1,0.0049690737108887
Halomonas sp. JS92-SW72,0.0047870726778986,1,0.0047870726778986
Edwardsiella anguillarum,0.0046503946645124,1,0.0046503946645124
Geobacillus thermoleovorans,0.0046452804880744,1,0.0046452804880744
Gemmatirosa kalamazoonesis,0.0046437666964134,1,0.0046437666964134
Streptococcus gordonii,0.0046414599354145,1,0.0046414599354145
Mycolicibacterium gilvum,0.0045950299773933,1,0.0045950299773933
Conexibacter woesei,0.0045936496006381,1,0.0045936496006381
Pseudolabrys taiwanensis,0.0045545298999305,1,0.0045545298999305
Pseudomonas sp. TMW 2.1634,0.0045400034080425,1,0.0045400034080425
Nakamurella panacisegetis,0.0044315309676548,1,0.0044315309676548
Burkholderia insecticola,0.0044261533921541,1,0.0044261533921541
Xanthomonas albilineans,0.0044163011790402,1,0.0044163011790402
Algoriphagus machipongonensis,0.0044160592182227,1,0.0044160592182227
Rhodococcus sp. H-CA8f,0.0044054493830708,1,0.0044054493830708
Gordonia sp. MMS17-SY073,0.0043192637653312,1,0.0043192637653312
Pseudomonas sp. MRSN12121,0.0042986430969218,1,0.0042986430969218
Rhizobium sp. NT-26,0.004215583755126,1,0.004215583755126
Kocuria turfanensis,0.0042151618679283,1,0.0042151618679283
Kutzneria albida,0.0041571317018034,1,0.0041571317018034
Stenotrophomonas sp. SAU14A_NAIMI4_8,0.0040867660658615,1,0.0040867660658615
Dermabacter vaginalis,0.0040425139451091,1,0.0040425139451091
Bradyrhizobium sp. BTAi1,0.0040120734810875,1,0.0040120734810875
Streptomyces sp. 3214.6,0.0038839487678973,1,0.0038839487678973
