host_id,nmdc_biosample_id,metagenome_accession,metabolomics_id,soil_pH,soil_NH4,soil_NO3,soil_total_C,soil_total_N,keep_for_analysis,notes,gold_project_id,metabolomics_present,metabolomics_run_count,cohort_status,soil_match,metagenomics_match,biosample_id_norm
BESC-388-CL2_50_4,nmdc:bsm-11-nn5snj10,SRX21791438,nmdc:dgms-12-sr7a8a07;nmdc:dgms-12-t47m4r65;nmdc:dgms-12-dddj1b24;nmdc:dgms-12-60863n19,4.93,15.591,29.0125,8.679,0.71,yes,from_supp_table1,Gp0566799,yes,4,ready,yes,yes,nmdc_bsm-11-nn5snj10
BESC-351-CL1_27_10,nmdc:bsm-11-ce1sg012,SRX21791439,nmdc:dgms-12-g55p8v35;nmdc:dgms-12-mvxeba78;nmdc:dgms-12-rfcgsp24;nmdc:dgms-12-964kxb88,5.06,12.638,15.752,5.791,0.421,yes,from_supp_table1,Gp0566788,yes,4,ready,yes,yes,nmdc_bsm-11-ce1sg012
BESC-866-Co2_58_19,nmdc:bsm-11-tzp7r259,SRX21791440,nmdc:dgms-12-sf45r669;nmdc:dgms-12-jhpm6f40;nmdc:dgms-12-5ty4p945;nmdc:dgms-12-ft0mqg44,4.95,16.2875,16.3555,8.515,0.613,yes,from_supp_table1,Gp0566831,yes,4,ready,yes,yes,nmdc_bsm-11-tzp7r259
BESC-360-CL2_44_14,nmdc:bsm-11-adzwqg44,SRX21791441,nmdc:dgms-12-8et6y647;nmdc:dgms-12-zqsa6v10;nmdc:dgms-12-wc9p1b44;nmdc:dgms-12-agz58160,5.05,11.2045,12.703,5.674,0.48,yes,from_supp_table1,Gp0566794,yes,4,ready,yes,yes,nmdc_bsm-11-adzwqg44
BESC-448-CL3_88_32,nmdc:bsm-11-vcna9q80,SRX21791442,nmdc:dgms-12-q6ay9h34;nmdc:dgms-12-k4bh1s40;nmdc:dgms-12-k2q6r664;nmdc:dgms-12-f4pacq15,5.46,9.211,18.875,5.621,0.439,yes,from_supp_table1,Gp0566805,yes,4,ready,yes,yes,nmdc_bsm-11-vcna9q80
BESC-56-Co2_51_16,nmdc:bsm-11-e9z5qp65,SRX21791443,nmdc:dgms-12-2c3ayz22;nmdc:dgms-12-h8r4ma15;nmdc:dgms-12-61qea943;nmdc:dgms-12-zb69jm74,,,nan,,,yes,from_supp_table1,Gp0566808,yes,4,ready,yes,yes,nmdc_bsm-11-e9z5qp65
BESC-833-CL2_42_16,nmdc:bsm-11-fr4c9n11,SRX21791444,nmdc:dgms-12-wtweck64;nmdc:dgms-12-03ej2990;nmdc:dgms-12-0q1kw277;nmdc:dgms-12-h573m895,5.33,14.851,9.161,7.023,0.455,yes,from_supp_table1,Gp0566810,yes,4,ready,yes,yes,nmdc_bsm-11-fr4c9n11
BESC-470-CL2_38_23,nmdc:bsm-11-1r59n445,SRX21791445,nmdc:dgms-12-kzzpr989;nmdc:dgms-12-jgypkm67;nmdc:dgms-12-f0txcp41;nmdc:dgms-12-m3zsay36,5.38,11.693,16.977,5.906,0.455,yes,from_supp_table1,Gp0566806,yes,4,ready,yes,yes,nmdc_bsm-11-1r59n445
BESC-905-CL1_32_20,nmdc:bsm-11-8eypa967,SRX21791446,nmdc:dgms-12-396cs202;nmdc:dgms-12-d6jx2w43;nmdc:dgms-12-59k28b61;nmdc:dgms-12-mbjgmn06,5.0,10.427,10.251,5.093,0.417,yes,from_supp_table1,Gp0566838,yes,4,ready,yes,yes,nmdc_bsm-11-8eypa967
BESC-388-Co1_32_7,nmdc:bsm-11-45z1kv27,SRX21791447,nmdc:dgms-12-gz179t39;nmdc:dgms-12-40rnb064;nmdc:dgms-12-8acz7d22;nmdc:dgms-12-wdn7jw63,6.55,3.5615,1.928,2.135,0.374,yes,from_supp_table1,Gp0566801,yes,4,ready,yes,yes,nmdc_bsm-11-45z1kv27
